,Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL
172,"Healthkart Apple Cider Vinegar with Mother, Unflavoured...",Healthkart,Rs.275,47%,Rs.525,4.4,583,https://www.flipkart.com/healthkart-apple-cider-vinegar-mother-unflavoured/p/itmedb8c7ba405ea?pid=VNGFHXBQHCVTMZBP&lid=LSTVNGFHXBQHCVTMZBP2U7SUD&marketplace=FLIPKART&srno=b_5_172&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.VNGFHXBQHCVTMZBP.SEARCH&ssid=z4grdw1q1s0000001591295007709
173,Happilo Premium International Super mix Berries,Happilo,Rs.322,11%,Rs.365,4.2,668,https://www.flipkart.com/happilo-premium-international-super-mix-berries/p/itm630a2c7a93a5d?pid=NDFF4N9PRBPW6FNR&lid=LSTNDFF4N9PRBPW6FNR3VTVXH&marketplace=FLIPKART&srno=b_5_173&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.NDFF4N9PRBPW6FNR.SEARCH&ssid=z4grdw1q1s0000001591295007709
174,Betty Crocker Triple Choco Brownie Mix 425 g,Betty,Rs.322,2%,Rs.330,4.4,294,https://www.flipkart.com/betty-crocker-triple-choco-brownie-mix-425-g/p/itmet9fwknytydxj?pid=RYMET9FWZSB3AZZH&lid=LSTRYMET9FWZSB3AZZHIERCDH&marketplace=FLIPKART&srno=b_5_174&otracker=browse&fm=organic&iid=en_s3uv%2Fp1hFTRuxxr4KFTivcyqVuwFPNf5c6%2BJNgRkJJHsZoqO6OU5Kfvd1EUiyxdoQXeK%2FOWxigzT1ZW%2B1fZmPg%3D%3D&ssid=z4grdw1q1s0000001591295007709
175,Horlicks Classic Malt Health Drink,Horlicks,Rs.241,0%,Rs.242,4.6,211,https://www.flipkart.com/horlicks-classic-malt-health-drink/p/itmetgn7auggkrz6?pid=MDMETGN7CA7GKUZC&lid=LSTMDMETGN7CA7GKUZCHCORUD&marketplace=FLIPKART&srno=b_5_175&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.MDMETGN7CA7GKUZC.SEARCH&ssid=z4grdw1q1s0000001591295007709
176,Yogabar Wholegrain Breakfast Muesli+ - Fruits + Seeds &...,Yogabar,Rs.538,10%,Rs.598,4.4,"4,429",https://www.flipkart.com/yogabar-wholegrain-breakfast-muesli-fruits-seeds-dark-chocolate/p/itmee91b5e1db8b8?pid=CAFFGV9FSEGX5SW6&lid=LSTCAFFGV9FSEGX5SW64MLGS3&marketplace=FLIPKART&srno=b_5_176&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.CAFFGV9FSEGX5SW6.SEARCH&ssid=z4grdw1q1s0000001591295007709
177,Lipton Zest Lemon Green Tea Bags Box,Lipton,Rs.140,3%,Rs.145,4.4,"49,437",https://www.flipkart.com/lipton-zest-lemon-green-tea-bags-box/p/itmevhm9uczfbnnh?pid=TEAEVHM97Z2XGQEM&lid=LSTTEAEVHM97Z2XGQEMBFW0RY&marketplace=FLIPKART&srno=b_5_177&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.TEAEVHM97Z2XGQEM.SEARCH&ssid=z4grdw1q1s0000001591295007709
178,MuscleBlaze Gold Gainer XXL Weight Gainers/Mass Gainers,MuscleBlaze,"Rs.1,119",30%,"Rs.1,599",4.2,337,https://www.flipkart.com/muscleblaze-gold-gainer-xxl-weight-gainers-mass-gainers/p/itmd32970ce85162?pid=PSLFN5V2YPHGCVMV&lid=LSTPSLFN5V2YPHGCVMVY7E3GT&marketplace=FLIPKART&srno=b_5_178&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.PSLFN5V2YPHGCVMV.SEARCH&ssid=z4grdw1q1s0000001591295007709
179,Pintola All Natural Export Peanut's Butter (Crunchy) 2....,Pintola,Rs.930,5%,Rs.980,4.4,"23,075",https://www.flipkart.com/pintola-all-natural-export-peanut-s-butter-crunchy-2-5-kg/p/itmf6gsmjhz9xgew?pid=JASFYSGTZTETPPTZ&lid=LSTJASFYSGTZTETPPTZ2H1H5M&marketplace=FLIPKART&srno=b_5_179&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.JASFYSGTZTETPPTZ.SEARCH&ssid=z4grdw1q1s0000001591295007709
180,Tang Mango Instant Drink Mix,Tang,Rs.200,4%,Rs.210,4.4,"5,480",https://www.flipkart.com/tang-mango-instant-drink-mix/p/itm643242cabb2be?pid=CNCFFY9UDZUWZ5SX&lid=LSTCNCFFY9UDZUWZ5SXOCFLLE&marketplace=FLIPKART&srno=b_5_180&otracker=browse&fm=organic&iid=en_s3uv%2Fp1hFTRuxxr4KFTivcyqVuwFPNf5c6%2BJNgRkJJEO57So18F065zEUxvGtxzNjJsFuyODN8nc0WhALdsByQ%3D%3D&ssid=z4grdw1q1s0000001591295007709
181,Gatorade Sports Powder Mix - Sipper Pack Sports Drink,Gatorade,Rs.173,13%,Rs.199,4.4,"4,199",https://www.flipkart.com/gatorade-sports-powder-mix-sipper-pack-drink/p/itm09e4295a224a8?pid=ESRFM7CEUPG7FTQS&lid=LSTESRFM7CEUPG7FTQSI1DIBL&marketplace=FLIPKART&srno=b_5_181&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.ESRFM7CEUPG7FTQS.SEARCH&ssid=z4grdw1q1s0000001591295007709
182,Happilo Premium Roasted and Salted Cashew Nuts,Happilo,Rs.356,9%,Rs.395,4.3,766,https://www.flipkart.com/happilo-premium-roasted-salted-cashew-nuts/p/itm56c87124f2827?pid=SNSF4Z6VGATDSWBY&lid=LSTSNSF4Z6VGATDSWBYH2LUBU&marketplace=FLIPKART&srno=b_5_182&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.SNSF4Z6VGATDSWBY.SEARCH&ssid=z4grdw1q1s0000001591295007709
183,Pillsbury Vanilla Cookie Cake,Pillsbury,Rs.240,0%,Rs.240,4.1,965,https://www.flipkart.com/pillsbury-vanilla-cookie-cake/p/itmfykhwwdw3q7kx?pid=CKBFZ8FCXJZX3HNG&lid=LSTCKBFZ8FCXJZX3HNGGMEYCF&marketplace=FLIPKART&srno=b_5_183&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.CKBFZ8FCXJZX3HNG.SEARCH&ssid=z4grdw1q1s0000001591295007709
184,Saffola Aura Extra Virgin Olive and Flaxseed Blended Oi...,Saffola,Rs.150,54%,Rs.330,4.3,40,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-blended-oil-plastic-bottle/p/itmezwfwdharczxx?pid=EDOEZWFWDTPEBFG2&lid=LSTEDOEZWFWDTPEBFG2UTHNWQ&marketplace=FLIPKART&srno=b_5_184&otracker=browse&fm=organic&iid=en_s3uv%2Fp1hFTRuxxr4KFTivcyqVuwFPNf5c6%2BJNgRkJJFBtWdEpBTxxngF0hR8IbpIlh3w9zHin4j9x57h5D2NgA%3D%3D&ssid=z4grdw1q1s0000001591295007709
185,WOW Life Science Extra Virgin Coconut Oil Pure & Natura...,WOW,Rs.386,22%,Rs.499,4.7,36,https://www.flipkart.com/wow-life-science-extra-virgin-coconut-oil-pure-natural-enriching-nourishing-400ml-plastic-bottle/p/itm9f897b20545b8?pid=EDOFZ9HVQZQTYXRN&lid=LSTEDOFZ9HVQZQTYXRN2XOZEX&marketplace=FLIPKART&srno=b_5_185&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.EDOFZ9HVQZQTYXRN.SEARCH&ssid=z4grdw1q1s0000001591295007709
186,Tulsi California Roasted Jumbo Nuts Lightly Salted Pist...,Tulsi,Rs.290,10%,Rs.325,4.3,846,https://www.flipkart.com/tulsi-california-roasted-jumbo-nuts-lightly-salted-pistachios/p/itm12eee3f2567c9?pid=NDFFGUDFHXKSAEP9&lid=LSTNDFFGUDFHXKSAEP9BBF7II&marketplace=FLIPKART&srno=b_5_186&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.NDFFGUDFHXKSAEP9.SEARCH&ssid=z4grdw1q1s0000001591295007709
187,Betty Crocker Buttermilk Pancake Mix 500 g,Betty,Rs.230,4%,Rs.240,4.3,660,https://www.flipkart.com/betty-crocker-buttermilk-pancake-mix-500-g/p/itmet923h2r7ynag?pid=RYMET923HCGZBN9B&lid=LSTRYMET923HCGZBN9B2AG71M&marketplace=FLIPKART&srno=b_5_187&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.RYMET923HCGZBN9B.SEARCH&ssid=z4grdw1q1s0000001591295007709
188,Lite Horlicks Regular Malt Flavour Flavour,Lite,Rs.298,0%,Rs.298,4.6,"1,514",https://www.flipkart.com/lite-horlicks-regular-malt-flavour/p/itmetgn55ffqjaay?pid=MDMETGN5DFK4QXSQ&lid=LSTMDMETGN5DFK4QXSQNV6MHN&marketplace=FLIPKART&srno=b_5_188&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.MDMETGN5DFK4QXSQ.SEARCH&ssid=z4grdw1q1s0000001591295007709
189,Nestle Lactogen Follow-up-Formula (Stage 2),Nestle,Rs.315,0%,Rs.315,4.6,980,https://www.flipkart.com/nestle-lactogen-follow-up-formula-stage-2/p/itmeuc7fpvy8zgtf?pid=INFEUC7FA8HYSXZU&lid=LSTINFEUC7FA8HYSXZUGDLLXX&marketplace=FLIPKART&srno=b_5_189&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.INFEUC7FA8HYSXZU.SEARCH&ssid=z4grdw1q1s0000001591295007709
190,Saffola Aura Extra Virgin Olive and Flaxseed EV Blended...,Saffola,Rs.250,58%,Rs.600,4.4,35,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-ev-blended-oil-plastic-bottle/p/itmfbtxjb2xvfgph?pid=EDOF7TMYJNAZGMJZ&lid=LSTEDOF7TMYJNAZGMJZVW0WSP&marketplace=FLIPKART&srno=b_5_190&otracker=browse&fm=organic&iid=en_s3uv%2Fp1hFTRuxxr4KFTivcyqVuwFPNf5c6%2BJNgRkJJF3jMcHtFHufHU4dnna06ScnAxwA8DrSPvhRt%2BDJhFA6Q%3D%3D&ssid=z4grdw1q1s0000001591295007709
191,Pintola All Natural Peanut Butter (Creamy) 2.5 kg,Pintola,Rs.930,5%,Rs.980,4.3,"23,477",https://www.flipkart.com/pintola-all-natural-peanut-butter-creamy-2-5-kg/p/itmf6gsmc7ke2zfs?pid=JASFYSHTKUUKSSYY&lid=LSTJASFYSHTKUUKSSYYFCUQ77&marketplace=FLIPKART&srno=b_5_191&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.JASFYSHTKUUKSSYY.SEARCH&ssid=z4grdw1q1s0000001591295007709
192,Naturewell Brown Mot Matki (Whole),Naturewell,Rs.199,33%,Rs.299,4.8,4,https://www.flipkart.com/naturewell-brown-mot-matki-whole/p/itmcf6bffeb5c55d?pid=PLSFRC3GA4CYFEKD&lid=LSTPLSFRC3GA4CYFEKDZ36HIP&marketplace=FLIPKART&srno=b_5_192&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.PLSFRC3GA4CYFEKD.SEARCH&ssid=z4grdw1q1s0000001591295007709
193,Dexolac Premium 2 Follow-Up Formula (After 6 Months) Ti...,Dexolac,Rs.515,0%,Rs.515,4.8,8,https://www.flipkart.com/dexolac-premium-2-follow-up-formula-after-6-months-tin-400gm/p/itmdbd8efd4567d3?pid=INFFR4ANNRGHUHQT&lid=LSTINFFR4ANNRGHUHQTDXUBMO&marketplace=FLIPKART&srno=b_5_193&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.INFFR4ANNRGHUHQT.SEARCH&ssid=z4grdw1q1s0000001591295007709
194,Tang Orange Instant Drink Mix,Tang,Rs.182,13%,Rs.210,4.4,"8,852",https://www.flipkart.com/tang-orange-instant-drink-mix/p/itmexzyeypfrjuef?pid=CNCETZN8AU9HMQEX&lid=LSTCNCETZN8AU9HMQEXYAWV8K&marketplace=FLIPKART&srno=b_5_194&otracker=browse&fm=organic&iid=en_s3uv%2Fp1hFTRuxxr4KFTivcyqVuwFPNf5c6%2BJNgRkJJEafrLPmlyELXb6Vv8ngSkmq%2FOg7iRAbeXf2BmkyKCBXA%3D%3D&ssid=z4grdw1q1s0000001591295007709
195,Wonderland Foods Premium Raw California Almonds,Wonderland,Rs.629,55%,"Rs.1,399",4.4,842,https://www.flipkart.com/wonderland-foods-premium-raw-california-almonds/p/itmfg8cfntsue6gk?pid=NDFFGY5QYXBNFWRG&lid=LSTNDFFGY5QYXBNFWRGFVU4HQ&marketplace=FLIPKART&srno=b_5_195&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.NDFFGY5QYXBNFWRG.SEARCH&ssid=z4grdw1q1s0000001591295007709
196,axium axs154,axium axs154,Rs.499,47%,Rs.947,4.3,786,https://www.flipkart.com/axium-axs154/p/itmfatchfda6uptz?pid=HASFATA8SR83NAYE&lid=LSTHASFATA8SR83NAYEAWKONP&marketplace=FLIPKART&srno=b_5_196&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.HASFATA8SR83NAYE.SEARCH&ssid=z4grdw1q1s0000001591295007709
197,Happilo Californian Premium Sweet Dried Whole Cranberri...,Happilo,Rs.266,9%,Rs.295,4.3,734,https://www.flipkart.com/happilo-californian-premium-sweet-dried-whole-cranberries/p/itmf4n9pmysyuanc?pid=NDFF4N9PQHBVEGZP&lid=LSTNDFF4N9PQHBVEGZPUKDUMF&marketplace=FLIPKART&srno=b_5_197&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.NDFF4N9PQHBVEGZP.SEARCH&ssid=z4grdw1q1s0000001591295007709
198,NAGO Natural Goodness Red Rajma (Whole),NAGO,Rs.180,10%,Rs.200,NA,NA,https://www.flipkart.com/nago-natural-goodness-red-rajma-whole/p/itmc13547df235da?pid=PLSFN9JE5RU8WVVP&lid=LSTPLSFN9JE5RU8WVVPE3DYWZ&marketplace=FLIPKART&srno=b_5_198&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.PLSFN9JE5RU8WVVP.SEARCH&ssid=z4grdw1q1s0000001591295007709
199,E Food Factory Orange Decorative Vermecelli Sprinkles,E,Rs.248,58%,Rs.599,NA,NA,https://www.flipkart.com/e-food-factory-orange-decorative-vermecelli-sprinkles/p/itm86b645cbf3255?pid=BKDFZJW4ETQNYSFY&lid=LSTBKDFZJW4ETQNYSFYZUFJCR&marketplace=FLIPKART&srno=b_5_199&otracker=browse&fm=organic&iid=32ef3753-741c-4031-9d89-22be25701bbb.BKDFZJW4ETQNYSFY.SEARCH&ssid=z4grdw1q1s0000001591295007709
200,Saffola Fittify Gourmet Slim Meal Shake Whey Protein,Saffola,"Rs.1,038",12%,"Rs.1,190",4.3,86,https://www.flipkart.com/saffola-fittify-gourmet-slim-meal-shake-whey-protein/p/itm6575bd00426f8?pid=PSLFNF3ZF2KHSHG8&lid=LSTPSLFNF3ZF2KHSHG8A38DKM&marketplace=FLIPKART&srno=b_5_200&otracker=browse&fm=organic&iid=en_s3uv%2Fp1hFTRuxxr4KFTivcyqVuwFPNf5c6%2BJNgRkJJHSVsMyqF%2Fe20svpXB0W8lKfeuylkGxcrobYuO%2FWvA8KQ%3D%3D&ssid=z4grdw1q1s0000001591295007709
201,Horlicks Royal Kesar Badam Flavour,Horlicks,Rs.263,0%,Rs.263,4.4,"1,960",https://www.flipkart.com/horlicks-royal-kesar-badam-flavour/p/itmetgn52cqnydd4?pid=MDMETGN5SA9WMUMJ&lid=LSTMDMETGN5SA9WMUMJ5MDTDC&marketplace=FLIPKART&srno=b_6_201&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.MDMETGN5SA9WMUMJ.SEARCH&ssid=mlcj4mhd9s0000001591295023041
202,Tulsi California Kernels Premium 200Gm Pack Of 2 Walnut...,Tulsi,Rs.675,15%,Rs.800,4.4,553,https://www.flipkart.com/tulsi-california-kernels-premium-200gm-pack-2-walnuts/p/itmfeqgedcmte38p?pid=NDFFEQBGGMHUHABC&lid=LSTNDFFEQBGGMHUHABCOA2UNU&marketplace=FLIPKART&srno=b_6_202&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.NDFFEQBGGMHUHABC.SEARCH&ssid=mlcj4mhd9s0000001591295023041
203,Glomin 100% Natural Premium Californian Almonds,Glomin,Rs.245,38%,Rs.399,4.2,"1,880",https://www.flipkart.com/glomin-100-natural-premium-californian-almonds/p/itmf98a2d914d76a?pid=NDFESTZZFUMHAGZN&lid=LSTNDFESTZZFUMHAGZNUPZECU&marketplace=FLIPKART&srno=b_6_203&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.NDFESTZZFUMHAGZN.SEARCH&ssid=mlcj4mhd9s0000001591295023041
204,Cadbury Bournvita Inner Strength Nutrition Drink,Cadbury,Rs.640,9%,Rs.710,4.5,"8,939",https://www.flipkart.com/cadbury-bournvita-inner-strength-nutrition-drink/p/itmfgnmmbuc7kgyg?pid=ESRFD4GZAFCP9YMK&lid=LSTESRFD4GZAFCP9YMKHNECUK&marketplace=FLIPKART&srno=b_6_204&otracker=browse&fm=organic&iid=en_viyefxXONCtsouEJRmEo2GymL22Ag0l%2F%2BfWGghonrDuUf5Jio1rb6oH%2Fi7qEvYnJzf1jmtr%2BEZ%2Bate%2BxMQ6ZKg%3D%3D&ssid=mlcj4mhd9s0000001591295023041
205,FARMUP Yellow Combo (Split),FARMUP,Rs.540,22%,Rs.700,4.9,15,https://www.flipkart.com/farmup-yellow-combo-split/p/itm5ea695f1c0676?pid=PLSFKM2UFZWXVJ5G&lid=LSTPLSFKM2UFZWXVJ5GGUBTU8&marketplace=FLIPKART&srno=b_6_205&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.PLSFKM2UFZWXVJ5G.SEARCH&ssid=mlcj4mhd9s0000001591295023041
206,Figaro Extra Virgin Olive Oil Plastic Bottle,Figaro,Rs.695,36%,"Rs.1,099",4.4,896,https://www.flipkart.com/figaro-extra-virgin-olive-oil-plastic-bottle/p/itmev78jucdutggd?pid=EDOEUHJMCGSRH2GA&lid=LSTEDOEUHJMCGSRH2GAK7X5WF&marketplace=FLIPKART&srno=b_6_206&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.EDOEUHJMCGSRH2GA.SEARCH&ssid=mlcj4mhd9s0000001591295023041
207,Naturewell Red Rajma (Whole),Naturewell,Rs.209,30%,Rs.299,4.8,5,https://www.flipkart.com/naturewell-red-rajma-whole/p/itm18ba142dc20d4?pid=PLSFRC3JETDWV72Z&lid=LSTPLSFRC3JETDWV72ZASZQOR&marketplace=FLIPKART&srno=b_6_207&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.PLSFRC3JETDWV72Z.SEARCH&ssid=mlcj4mhd9s0000001591295023041
208,Tulsi California Premium Walnuts,Tulsi,Rs.345,13%,Rs.400,4.4,553,https://www.flipkart.com/tulsi-california-premium-walnuts/p/itmfep59mqnkg8br?pid=NDFFEZ2YWGSZWSTM&lid=LSTNDFFEZ2YWGSZWSTM8UKOBV&marketplace=FLIPKART&srno=b_6_208&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.NDFFEZ2YWGSZWSTM.SEARCH&ssid=mlcj4mhd9s0000001591295023041
209,MYFITNESS Smooth Natural Peanut Butter Unsweetened 1000...,MYFITNESS,Rs.389,22%,Rs.499,4.3,"1,509",https://www.flipkart.com/myfitness-smooth-natural-peanut-butter-unsweetened-1000-g/p/itmfc7hwgppzqdzd?pid=JASFC6GZR6CG2F85&lid=LSTJASFC6GZR6CG2F85BUMYMC&marketplace=FLIPKART&srno=b_6_209&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.JASFC6GZR6CG2F85.SEARCH&ssid=mlcj4mhd9s0000001591295023041
210,Cadbury Bournvita Health Drink Nutrition Drink,Cadbury,Rs.286,1%,Rs.290,4.5,"11,923",https://www.flipkart.com/cadbury-bournvita-health-drink-nutrition/p/itmfhf8pfdw8gxb5?pid=ESRFCZVQZRUREGEX&lid=LSTESRFCZVQZRUREGEXSBX0LQ&marketplace=FLIPKART&srno=b_6_210&otracker=browse&fm=organic&iid=en_viyefxXONCtsouEJRmEo2GymL22Ag0l%2F%2BfWGghonrDvpcyqdUW0yVrnGhYoeI3f58TCj29BtLUyQ%2BVBw19HcDw%3D%3D&ssid=mlcj4mhd9s0000001591295023041
211,FARMUP White Kabuli Chana (Whole),FARMUP,"Rs.1,237",31%,"Rs.1,800",4,4,https://www.flipkart.com/farmup-white-kabuli-chana-whole/p/itmfacjhzerkys74?pid=PLSFACGXCJUHYGGW&lid=LSTPLSFACGXCJUHYGGWB5OABN&marketplace=FLIPKART&srno=b_6_211&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.PLSFACGXCJUHYGGW.SEARCH&ssid=mlcj4mhd9s0000001591295023041
212,Happilo 100% Natural Premium Kashmiri Walnuts,Happilo,Rs.819,10%,Rs.910,4.3,198,https://www.flipkart.com/happilo-100-natural-premium-kashmiri-walnuts/p/itmf8ykexqgnjfvr?pid=NDFF8YKEGVYANUND&lid=LSTNDFF8YKEGVYANUND6ASWP2&marketplace=FLIPKART&srno=b_6_212&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.NDFF8YKEGVYANUND.SEARCH&ssid=mlcj4mhd9s0000001591295023041
213,"Nutty Gritties Jumbo Roasted Pistachios, Lightly Salted...",Nutty,Rs.349,16%,Rs.420,4.2,698,https://www.flipkart.com/nutty-gritties-jumbo-roasted-pistachios-lightly-salted-pistachios/p/itmf6rfrnzcjbgyz?pid=NDFF6ZBZPEN8DRDS&lid=LSTNDFF6ZBZPEN8DRDSSZFSZT&marketplace=FLIPKART&srno=b_6_213&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.NDFF6ZBZPEN8DRDS.SEARCH&ssid=mlcj4mhd9s0000001591295023041
214,Betty Crocker Triple Choco Brownie Mix 425 g,Betty,Rs.322,2%,Rs.330,4.4,294,https://www.flipkart.com/betty-crocker-triple-choco-brownie-mix-425-g/p/itmet9fwknytydxj?pid=RYMET9FWZSB3AZZH&lid=LSTRYMET9FWZSB3AZZHIERCDH&marketplace=FLIPKART&srno=b_6_214&otracker=browse&fm=organic&iid=en_viyefxXONCtsouEJRmEo2GymL22Ag0l%2F%2BfWGghonrDsii6k3S67LgBZZ2qgimmCyQXeK%2FOWxigzT1ZW%2B1fZmPg%3D%3D&ssid=mlcj4mhd9s0000001591295023041
215,"True Elements Gluten Free, Rich in Vitamin B, Regular Q...",True,Rs.449,30%,Rs.650,4.5,196,https://www.flipkart.com/true-elements-gluten-free-rich-vitamin-b-regular-quinoa/p/itm8878dc5229ffc?pid=GNMERGYTXR8KHHXF&lid=LSTGNMERGYTXR8KHHXFVS0PQ1&marketplace=FLIPKART&srno=b_6_215&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.GNMERGYTXR8KHHXF.SEARCH&ssid=mlcj4mhd9s0000001591295023041
216,FARMUP Polished Red Masoor Dal (Split),FARMUP,Rs.300,24%,Rs.399,4.3,26,https://www.flipkart.com/farmup-polished-red-masoor-dal-split/p/itmfbj7ktzzhfbbr?pid=PLSFBJ7KHZM3MTAH&lid=LSTPLSFBJ7KHZM3MTAHMFFHRR&marketplace=FLIPKART&srno=b_6_216&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.PLSFBJ7KHZM3MTAH.SEARCH&ssid=mlcj4mhd9s0000001591295023041
217,Go Premium Halves California Walnut Kernels(Vacuum Pack...,Go,Rs.389,31%,Rs.565,4.2,189,https://www.flipkart.com/go-premium-halves-california-walnut-kernels-vacuum-packed-walnuts/p/itmd90e4558f3c83?pid=NDFFHFHTGCZ5ZPVK&lid=LSTNDFFHFHTGCZ5ZPVKEOGHBO&marketplace=FLIPKART&srno=b_6_217&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.NDFFHFHTGCZ5ZPVK.SEARCH&ssid=mlcj4mhd9s0000001591295023041
218,MuscleBlaze Super Gainer XXL Weight Gainers/Mass Gainer...,MuscleBlaze,"Rs.1,899",35%,"Rs.2,949",4,"67,578",https://www.flipkart.com/muscleblaze-super-gainer-xxl-weight-gainers-mass-gainers/p/itmet8f2hexvenyk?pid=PSLET8F2GUDN9YM9&lid=LSTPSLET8F2GUDN9YM98WMXII&marketplace=FLIPKART&srno=b_6_218&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.PSLET8F2GUDN9YM9.SEARCH&ssid=mlcj4mhd9s0000001591295023041
219,Nestle Cerelac Multi Grain Dal Veg Cereal,Nestle,Rs.257,0%,Rs.257,4.5,"2,095",https://www.flipkart.com/nestle-cerelac-multi-grain-dal-veg-cereal/p/itmeu2fy9czmhmyh?pid=BBYEU2FY5EXT3ZEX&lid=LSTBBYEU2FY5EXT3ZEXTI1NWG&marketplace=FLIPKART&srno=b_6_219&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.BBYEU2FY5EXT3ZEX.SEARCH&ssid=mlcj4mhd9s0000001591295023041
220,Tang Mango Instant Drink Mix,Tang,Rs.200,4%,Rs.210,4.4,"5,480",https://www.flipkart.com/tang-mango-instant-drink-mix/p/itm643242cabb2be?pid=CNCFFY9UDZUWZ5SX&lid=LSTCNCFFY9UDZUWZ5SXOCFLLE&marketplace=FLIPKART&srno=b_6_220&otracker=browse&fm=organic&iid=en_viyefxXONCtsouEJRmEo2GymL22Ag0l%2F%2BfWGghonrDvqN%2Foakx36oixMXBK7UrI0jJsFuyODN8nc0WhALdsByQ%3D%3D&ssid=mlcj4mhd9s0000001591295023041
221,Sugar Free Gold 300 Pellets Sweetener,Sugar,Rs.176,2%,Rs.180,4.6,59,https://www.flipkart.com/sugar-free-gold-300-pellets-sweetener/p/itmd6c204ac2439f?pid=ARSFZJHHCCR54VH2&lid=LSTARSFZJHHCCR54VH2CRHEVM&marketplace=FLIPKART&srno=b_6_221&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.ARSFZJHHCCR54VH2.SEARCH&ssid=mlcj4mhd9s0000001591295023041
222,FARMUP Combo,FARMUP Combo,Rs.560,20%,Rs.700,4.9,15,https://www.flipkart.com/farmup-combo/p/itm89bbab9fb55c8?pid=PLSFKMR438HAQZN6&lid=LSTPLSFKMR438HAQZN62NA405&marketplace=FLIPKART&srno=b_6_222&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.PLSFKMR438HAQZN6.SEARCH&ssid=mlcj4mhd9s0000001591295023041
223,Protinex Mama,Protinex Mama,Rs.532,11%,Rs.600,4.4,"2,730",https://www.flipkart.com/protinex-mama/p/itm8f9d0e6407c30?pid=PSLECHP9ZMFTYHBZ&lid=LSTPSLECHP9ZMFTYHBZAJJJSE&marketplace=FLIPKART&srno=b_6_223&otracker=browse&fm=organic&iid=8d40261a-a86f-46e8-8447-b3c906b68df7.PSLECHP9ZMFTYHBZ.SEARCH&ssid=mlcj4mhd9s0000001591295023041
