,Product_name,Brand,Discounted_Price,Discount,Original_Price,Ratings,Total_Ratings,Product_URL
13,Fortune Besan,Fortune Besan,Rs.55,0%,Rs.55,4.5,"2,098",https://www.flipkart.com/fortune-besan/p/itm44bec586a1698?pid=FLRETEFHUERVXNJ7&lid=LSTFLRETEFHUERVXNJ7057DPA&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRETEFHUERVXNJ7.SEARCH&ssid=qyd2kliceo0000001591294950608
14,Tang Mango Instant Drink Mix,Tang,Rs.200,4%,Rs.210,4.4,"5,480",https://www.flipkart.com/tang-mango-instant-drink-mix/p/itm643242cabb2be?pid=CNCFFY9UDZUWZ5SX&lid=LSTCNCFFY9UDZUWZ5SXOCFLLE&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5NkazyFGh5twrz9bhRqVjIurhebN74Lt2ateaW02mI3HA%3D%3D&ssid=qyd2kliceo0000001591294950608
15,Dukes Eclairs Chocolate Candy,Dukes,Rs.77,23%,Rs.100,4.2,"4,649",https://www.flipkart.com/dukes-eclairs-chocolate-candy/p/itmf3keahrf7ngfs?pid=CMFF3KEAQHKNUDKH&lid=LSTCMFF3KEAQHKNUDKHWSL0IY&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.CMFF3KEAQHKNUDKH.SEARCH&ssid=qyd2kliceo0000001591294950608
16,Rajdhani Select Sooji,Rajdhani Select,Rs.33,19%,Rs.41,4.4,892,https://www.flipkart.com/rajdhani-select-sooji/p/itmca2e757b6ecd3?pid=FLRF6YFKG5YJZWD9&lid=LSTFLRF6YFKG5YJZWD9XXZMT9&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRF6YFKG5YJZWD9.SEARCH&ssid=qyd2kliceo0000001591294950608
17,Tata Sampann Unpolished Toor Dal,Tata,Rs.132,11%,Rs.149,4.5,"3,006",https://www.flipkart.com/tata-sampann-unpolished-toor-dal/p/itmf6verd4jgzt7y?pid=PLSEU7M4X7YWF2W6&lid=LSTPLSEU7M4X7YWF2W6DE954I&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.PLSEU7M4X7YWF2W6.SEARCH&ssid=qyd2kliceo0000001591294950608
18,Tata Sampann Fine Besan,Tata,Rs.97,22%,Rs.125,4.5,"1,960",https://www.flipkart.com/tata-sampann-fine-besan/p/itmf3fcae89f4c42?pid=FLRETEFHZZE7ZPNK&lid=LSTFLRETEFHZZE7ZPNKXLGNII&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRETEFHZZE7ZPNK.SEARCH&ssid=qyd2kliceo0000001591294950608
19,Britannia Marie Gold Biscuits,Britannia,Rs.30,0%,Rs.30,4.4,"1,019",https://www.flipkart.com/britannia-marie-gold-biscuits/p/itmevkj8kwnxgsgc?pid=CKBET6WU3CEGCYV2&lid=LSTCKBET6WU3CEGCYV246WSIS&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.CKBET6WU3CEGCYV2.SEARCH&ssid=qyd2kliceo0000001591294950608
20,Saffola Aura Extra Virgin Olive and Flaxseed EV Blended...,Saffola,Rs.250,58%,Rs.600,4.4,35,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-ev-blended-oil-plastic-bottle/p/itmfbtxjb2xvfgph?pid=EDOF7TMYJNAZGMJZ&lid=LSTEDOF7TMYJNAZGMJZVW0WSP&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5O8fOPgaoq5%2BlzrlNDQHKD%2BnAxwA8DrSPvhRt%2BDJhFA6Q%3D%3D&ssid=qyd2kliceo0000001591294950608
21,Tata Lite Iodized Salt,Tata,Rs.35,0%,Rs.35,4.7,722,https://www.flipkart.com/tata-lite-iodized-salt/p/itmet96pm9bbgce5?pid=SATET96P3HVNYGAN&lid=LSTSATET96P3HVNYGANMWHG0C&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SATET96P3HVNYGAN.SEARCH&ssid=qyd2kliceo0000001591294950608
22,Pillsbury Chakki Fresh Atta,Pillsbury,Rs.370,0%,Rs.370,4.2,"1,542",https://www.flipkart.com/pillsbury-chakki-fresh-atta/p/itm22fe236d6c923?pid=FLRETEFHXHS98DA6&lid=LSTFLRETEFHXHS98DA6GQYMSX&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRETEFHXHS98DA6.SEARCH&ssid=qyd2kliceo0000001591294950608
