Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL,Platform
"Kohinoor Super Value Basmati Rice, Blue, 1kg (20% extra)",135.0,16.0,160.0,4.3,577,https://www.amazon.in/Kohinoor-Super-Value-Basmati-1-2kg/dp/B07NQTJ91J/ref=sr_1_48?dchild=1&qid=1591099869&s=pantry&sr=1-48,Amazon
"Kohinoor Authentic Basmati Biryani Kit, Hyderabadi, 327g",91.0,27.0,125.0,4.3,669,https://www.amazon.in/Kohinoor-Authentic-Basmati-Biryani-Hyderabadi/dp/B07H3T8K39/ref=sr_1_49?dchild=1&qid=1591099869&s=pantry&sr=1-49,Amazon
"Kohinoor Super Value Basmati Rice, Blue 5kg",559.0,31.0,810.0,4.2,835,https://www.amazon.in/Kohinoor-Super-Value-Basmati-Rice/dp/B07NQVNZ5K/ref=sr_1_50?dchild=1&qid=1591099869&s=pantry&sr=1-50,Amazon
"24 Mantra Organic, Whole Wheat Atta, 5Kg",246.0,9.0,270.0,3.6,598,https://www.amazon.in/24-Mantra-Organic-Wholewheat-Premium/dp/B01CHV0AGS/ref=sr_1_51?dchild=1&qid=1591099869&s=pantry&sr=1-51,Amazon
"Amazon Brand - Vedaka Popular Toor Dal, 1kg",112.0,7.0,120.0,4.4,72,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Toor/dp/B081QX5BV2/ref=sr_1_53?dchild=1&qid=1591099869&s=pantry&sr=1-53,Amazon
ASOP Urad Dhuli Economy 1Kg,125.0,26.0,170.0,3.7,28,https://www.amazon.in/ASOP-Urad-Dhuli-Economy-1Kg/dp/B0851SFWX1/ref=sr_1_54?dchild=1&qid=1591099869&s=pantry&sr=1-54,Amazon
Moong Dhuli Economy 1Kg,130.0,13.0,150.0,3.9,49,https://www.amazon.in/ASOP-Moong-Dhuli-Economy-1Kg/dp/B0851SRQKK/ref=sr_1_53?dchild=1&qid=1591099869&s=pantry&sr=1-53,Amazon
"Fortune Special Biryani Basmati Rice, 5kg",561.0,32.0,825.0,4.3,534,https://www.amazon.in/Fortune-Special-Biryani-Basmati-Rice/dp/B01H5L60R8/ref=sr_1_56?dchild=1&qid=1591099869&s=pantry&sr=1-56,Amazon
"Amazon Brand - Vedaka Sona Masoori Raw Rice, 5Kg, White",330.0,8.0,360.0,3.6,732,https://www.amazon.in/Amazon-Brand-Vedaka-Masoori-White/dp/B0748NKCK1/ref=sr_1_57?dchild=1&qid=1591099869&s=pantry&sr=1-57,Amazon
"Kohinoor Charminar Select Basmati Rice, 5kg",399.0,26.0,540.0,4.1,315,https://www.amazon.in/Kohinoor-Charminar-Basmati-Rice-5kg/dp/B01GCEWQEK/ref=sr_1_58?dchild=1&qid=1591099869&s=pantry&sr=1-58,Amazon
