Product_Name,Brand,Discounted_Price,Discount,Original_Price,Product_Rating,No_of_ratings,Product_URL,Platform
Rajdhani Select Sooji,Rajdhani Select,33.0,19.0,41.0,4.4,892,https://www.flipkart.com/rajdhani-select-sooji/p/itmca2e757b6ecd3?pid=FLRF6YFKG5YJZWD9&lid=LSTFLRF6YFKG5YJZWD9XXZMT9&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.FLRF6YFKG5YJZWD9.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Tata Sampann Unpolished Toor Dal,Tata,132.0,11.0,149.0,4.5,3006,https://www.flipkart.com/tata-sampann-unpolished-toor-dal/p/itmf6verd4jgzt7y?pid=PLSEU7M4X7YWF2W6&lid=LSTPLSEU7M4X7YWF2W6DE954I&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.PLSEU7M4X7YWF2W6.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Saffola Aura Extra Virgin Olive and Flaxseed EV Blended...,Saffola,250.0,58.0,600.0,4.4,35,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-ev-blended-oil-plastic-bottle/p/itmfbtxjb2xvfgph?pid=EDOF7TMYJNAZGMJZ&lid=LSTEDOF7TMYJNAZGMJZVW0WSP&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5O8fOPgaoq5%2BlzrlNDQHKD%2BnAxwA8DrSPvhRt%2BDJhFA6Q%3D%3D&ssid=qyd2kliceo0000001591294950608,Flipkart
"Lipton Honey, Lemon Green Tea Bags Box",Lipton,466.0,3.0,482.0,4.4,49437,https://www.flipkart.com/lipton-honey-lemon-green-tea-bags-box/p/itmewjx9atpdgjm4?pid=TEAETC92QZFTY8RR&lid=LSTTEAETC92QZFTY8RR9WEBPK&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.TEAETC92QZFTY8RR.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Saffola Aura Extra Virgin Olive and Flaxseed Blended Oi...,Saffola,150.0,54.0,330.0,4.3,40,https://www.flipkart.com/saffola-aura-extra-virgin-olive-flaxseed-blended-oil-plastic-bottle/p/itmezwfwdharczxx?pid=EDOEZWFWDTPEBFG2&lid=LSTEDOEZWFWDTPEBFG2UTHNWQ&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=en_dXCr865M0fflGTyXk%2Bd%2BcEm6veCUIC0QLb7lyZDsM5M9uC4qimscMfspdQwSP37Ilh3w9zHin4j9x57h5D2NgA%3D%3D&ssid=qyd2kliceo0000001591294950608,Flipkart
India Gate Regular Choice Basmati Rice (Medium Grain),India,357.0,19.0,445.0,3.9,2073,https://www.flipkart.com/india-gate-regular-choice-basmati-rice-medium-grain/p/itmeuhhmvrnqhfvu?pid=RICEUHHMHUQXGKXZ&lid=LSTRICEUHHMHUQXGKXZCDLDIS&marketplace=FLIPKART&srno=b_1_25&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.RICEUHHMHUQXGKXZ.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
MTR Gulab Jamun Mix 160 g,MTR,119.0,0.0,120.0,4.6,1328,https://www.flipkart.com/mtr-gulab-jamun-mix-160-g/p/itmfcmm6u3nz3szs?pid=RYMF5XVZESGTYFNZ&lid=LSTRYMF5XVZESGTYFNZW8DGAP&marketplace=FLIPKART&srno=b_1_26&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.RYMF5XVZESGTYFNZ.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Fortune Rice Bran Oil Pouch,Fortune,129.0,0.0,130.0,4.5,944,https://www.flipkart.com/fortune-rice-bran-oil-pouch/p/itmevmncdazfbqzn?pid=EDOEUHJZKS56TYBX&lid=LSTEDOEUHJZKS56TYBXRUVKUV&marketplace=FLIPKART&srno=b_1_27&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.EDOEUHJZKS56TYBX.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Flipkart Supermart Select Sugar,Flipkart,59.0,34.0,90.0,4.5,787,https://www.flipkart.com/flipkart-supermart-select-sugar/p/itmfy2jxm4h87ptd?pid=SUGFY2JXWAQDJW46&lid=LSTSUGFY2JXWAQDJW46JBKPPT&marketplace=FLIPKART&srno=b_1_28&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.SUGFY2JXWAQDJW46.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
Dabur Honey Squeezy,Dabur Honey,250.0,10.0,280.0,4.4,18831,https://www.flipkart.com/dabur-honey-squeezy/p/itmeu6mgvfaedn4q?pid=HNYEU6MGSMBZ45Z8&lid=LSTHNYEU6MGSMBZ45Z83XHN8S&marketplace=FLIPKART&srno=b_1_29&otracker=browse&fm=organic&iid=590fd094-00ac-490c-a766-97e3e91a5ae5.HNYEU6MGSMBZ45Z8.SEARCH&ssid=qyd2kliceo0000001591294950608,Flipkart
