Product_Name,Discounted_Price,Discount,Original_Price,Rating,No_of_ratings,itemURL
"NutroActive BrownXatta Atta, High Protein & Low Carb Keto Friendly Flour - 3.4 Kg",1048,4%,"₹1,089",3.8,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_browse_grocery_sr_pg2_3?ie=UTF8&adId=A01571248RAU0GR0T2SU&url=%2FNutroActive-BrownXatta-Protein-Friendly-Flour%2Fdp%2FB071GYHG8M%2Fref%3Dsr_1_42_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-42-spons%26psc%3D1&qualifier=1591153668&id=7419645237651369&widgetName=sp_mtf_browse
"Amazon Brand - Vedaka Premium White Urad Whole (Gota), 1kg",150,0%,,4.1,736,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-White/dp/B07N7R5K7C/ref=sr_1_43?dchild=1&qid=1591099869&s=pantry&sr=1-43
"Amazon Brand - Vedaka Popular Kabuli Chana / Chhole, 500g",56,49%,₹110,4.2,2442,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Kabuli/dp/B079NF7Y5J/ref=sr_1_44?dchild=1&qid=1591099869&s=pantry&sr=1-44
"Amazon Brand - Vedaka Premium Black Chana, 1 kg",100,29%,₹140,4.3,668,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Black/dp/B079NF3YC6/ref=sr_1_45?dchild=1&qid=1591099869&s=pantry&sr=1-45
"Amazon Brand - Vedaka Premium Kabuli Chana / Chhole, 1 kg",114,53%,₹240,4.3,960,https://www.amazon.in/Amazon-Brand-Vedaka-Premium-Kabuli/dp/B079NR7HXW/ref=sr_1_46?dchild=1&qid=1591099869&s=pantry&sr=1-46
"Amazon Brand - Vedaka Kolam Rice, Raw, 5kg",389,14%,₹450,3.9,149,https://www.amazon.in/Amazon-Brand-Vedaka-Kolam-Rice/dp/B079TD524S/ref=sr_1_47?dchild=1&qid=1591099869&s=pantry&sr=1-47
"Kohinoor Super Value Basmati Rice, Blue, 1kg (20% extra)",135,16%,₹160,4.3,577,https://www.amazon.in/Kohinoor-Super-Value-Basmati-1-2kg/dp/B07NQTJ91J/ref=sr_1_48?dchild=1&qid=1591099869&s=pantry&sr=1-48
"Kohinoor Authentic Basmati Biryani Kit, Hyderabadi, 327g",91,27%,₹125,4.3,669,https://www.amazon.in/Kohinoor-Authentic-Basmati-Biryani-Hyderabadi/dp/B07H3T8K39/ref=sr_1_49?dchild=1&qid=1591099869&s=pantry&sr=1-49
"Kohinoor Super Value Basmati Rice, Blue 5kg",559,31%,₹810,4.2,835,https://www.amazon.in/Kohinoor-Super-Value-Basmati-Rice/dp/B07NQVNZ5K/ref=sr_1_50?dchild=1&qid=1591099869&s=pantry&sr=1-50
"24 Mantra Organic, Whole Wheat Atta, 5Kg",246,9%,₹270,3.6,598,https://www.amazon.in/24-Mantra-Organic-Wholewheat-Premium/dp/B01CHV0AGS/ref=sr_1_51?dchild=1&qid=1591099869&s=pantry&sr=1-51
"Amazon Brand - Vedaka Popular Green Moong Whole / Sabut, 500g",60,0%,,4.3,1520,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Green/dp/B079NBJNPP/ref=sr_1_52?dchild=1&qid=1591099869&s=pantry&sr=1-52
"Amazon Brand - Vedaka Popular Toor Dal, 1kg",112,7%,₹120,4.4,72,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Toor/dp/B081QX5BV2/ref=sr_1_53?dchild=1&qid=1591099869&s=pantry&sr=1-53
ASOP Urad Dhuli Economy 1Kg,125,26%,₹170,3.7,28,https://www.amazon.in/ASOP-Urad-Dhuli-Economy-1Kg/dp/B0851SFWX1/ref=sr_1_54?dchild=1&qid=1591099869&s=pantry&sr=1-54
GrowFit Low Carb Gluten Free Roti Flour (1Kg),790,0%,,3.3,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg3_1?ie=UTF8&adId=A040305033MHK9NHB8UG7&url=%2FGrow-Fit-Carb-Non-Gluten-Flour%2Fdp%2FB077PN52J7%2Fref%3Dsr_1_49_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-49-spons%26psc%3D1&qualifier=1591153670&id=156860292891304&widgetName=sp_atf_browse
"SHRILALMAHAL Fitness Brown Basmati Rice (Weight Loss Special), (4 Kg : 4 x 1 Kg Jars) | Low Glycemic Index | Gluten Free | Immunity Booster",559,20%,₹700,3.9,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg3_2?ie=UTF8&adId=A07527491I4A4JEBHYATH&url=%2FSHRILALMAHAL-Fitness-Basmati-Weight-Special%2Fdp%2FB07DXZX8FR%2Fref%3Dsr_1_50_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-50-spons%26psc%3D1&qualifier=1591153670&id=156860292891304&widgetName=sp_atf_browse
Earthspired Special Multigrain Flour with Low Glycemic Index Ingredients (1kg),250,15%,₹295,3.4,Sponsored,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_browse_grocery_sr_pg3_3?ie=UTF8&adId=A08328631GG0WFE6RAK3X&url=%2FEarthspired-Special-Multigrain-Glycemic-Ingredients%2Fdp%2FB01MU3ITN7%2Fref%3Dsr_1_51_sspa%3Fdchild%3D1%26qid%3D1591099869%26s%3Dgrocery%26sr%3D1-51-spons%26psc%3D1&qualifier=1591153670&id=156860292891304&widgetName=sp_atf_browse
"Amazon Brand - Vedaka Popular Toor Dal, 1kg",,0%,,4.3,129,https://www.amazon.in/Amazon-Brand-Vedaka-Popular-Toor/dp/B07BL6K3S1/ref=sr_1_52?dchild=1&qid=1591099869&s=grocery&sr=1-52
Moong Dhuli Economy 1Kg,130,13%,₹150,3.9,49,https://www.amazon.in/ASOP-Moong-Dhuli-Economy-1Kg/dp/B0851SRQKK/ref=sr_1_53?dchild=1&qid=1591099869&s=pantry&sr=1-53
"Tata Sampann Kabuli, 500g",,0%,,4.4,155,https://www.amazon.in/Tata-Sampann-Kabuli-500g/dp/B07DCPTP6R/ref=sr_1_54?dchild=1&qid=1591099869&s=grocery&sr=1-54
